sum,avg,year
201484,100.742,1880
192699,99.5860465116279,1881
221538,104.15514809591,1882
216950,104.102687140115,1883
243467,105.993469743143,1884
240855,104.993461203139,1885
255319,106.738712374582,1886
247396,104.254530130636,1887
299480,112.968691059977,1888
288950,111.563706563707,1889
301402,111.837476808905,1890
286678,107.773684210526,1891
334383,114.475522081479,1892
325223,114.879194630872,1893
338694,115.162869772186,1894
351028,115.12889471958,1895
357490,115.655127790359,1896
346960,114.583883751651,1897
381463,116.869791666667,1898
339235,111.517094017094,1899
450327,120.698740284106,1900
345819,109.679352997146,1901
386736,115.031528851874,1902
381207,112.483623487754,1903
403496,113.309744453805,1904
423948,115.959518599562,1905
428462,117.936140930361,1906
465399,117.882218844985,1907
488657,121.616973618716,1908
511227,120.943222143364,1909
590719,127.612659321668,1910
644267,132.374563386069,1911
988048,155.573610455046,1912
1137075,163.208698148414,1913
1416310,177.861358784378,1914
1832477,195.819298995512,1915
1934422,199.507219471947,1916
2006791,202.399495713565,1917
2171184,208.767692307692,1918
2110294,203.499903567985,1919
2262746,210.370583860171,1920
2334456,215.038319823139,1921
2289206,212.810820860835,1922
2302498,216.339190077986,1923
2381627,219.161406091838,1924
2333310,219.254839315918,1925
2295809,219.463626804321,1926
2319047,222.835303161334,1927
2260635,222.50344488189,1928
2191735,223.304635761589,1929
2222937,227.085197670855,1930
2103624,226.439612486545,1931
2110802,224.984225111916,1932
1998837,221.821884363556,1933
2076330,226.179738562092,1934
2089358,231.328387953942,1935
2077176,233.521753794266,1936
2130181,238.142090553382,1937
2212118,245.001439805073,1938
2203062,247.007736293306,1939
2302225,256.916080794554,1940
2435860,268.148392778512,1941
2731319,289.825870118846,1942
2821928,300.013608335105,1943
2689659,293.823355909985,1944
2652638,293.921108033241,1945
3194834,329.262496135216,1946
3601867,347.268318549942,1947
3452283,337.301709819248,1948
3484550,339.558565581758,1949
3503853,339.948869700204,1950
3681122,351.923709369025,1951
3798975,356.5438761145,1952
3850103,355.437869276219,1953
3979056,363.019432533528,1954
4012582,361.103491720662,1955
4121206,363.325927885039,1956
4200026,363.261200484345,1957
4131596,358.645486111111,1958
4156553,353.238123565905,1959
4154810,348.411740041929,1960
4139818,339.97027182393,1961
4035493,330.669698459521,1962
3958972,322.418112224122,1963
3887864,313.689204453768,1964
3626379,303.411897590361,1965
3475832,286.123806387883,1966
3395291,273.835873860795,1967
3379031,261.373066212871,1968
3476679,252.867772201615,1969
3607741,244.145699397713,1970
3432676,224.534013605442,1971
3143851,203.987217752401,1972
3017477,192.514801582238,1973
3040518,187.177911844373,1974
3019906,178.365483432756,1975
3035000,174.485454754513,1976
3176681,174.821473776897,1977
3173908,174.180002195149,1978
3326998,174.829111928534,1979
3443809,177.159781881784,1980
3458372,177.662180211651,1981
3506648,178.192387824585,1982
3461793,178.479738090328,1983
3486803,178.819580491307,1984
3567068,177.687073474471,1985
3554828,172.23003875969,1986
3603553,168.429679831736,1987
3692441,165.150773772252,1988
3843104,161.69916270459,1989
3950252,159.8451017683,1990
3893897,155.110619821542,1991
3839692,151.073811772112,1992
3768776,145.193050044304,1993
3716231,142.94845559103,1994
3660759,140.36652607362,1995
3645627,137.992618948484,1996
3623928,134.393769701465,1997
3676165,131.804704026388,1998
3691441,129.324586603139,1999
3777007,126.902765178241,2000
3740300,123.601335051717,2001
3735021,122.219273560209,2002
3798793,121.86164308857,2003
3816939,119.149024504448,2004
3840220,118.04075861433,2005
3950840,115.965834042678,2006
3991547,114.269474106095,2007
3923523,111.956712797831,2008
3812228,109.913158805213,2009
3686589,108.298492993743,2010
3646730,107.671617112994,2011
3643336,108.162213513834,2012
3626802,109.231153811403,2013
3670151,111.068605495703,2014
