sum,avg,sex,year
90993,96.5955414012739,F,1880
110491,104.433837429112,M,1880
91954,98.0319829424307,F,1881
100745,101.0481444333,M,1881
107850,104.912451361868,F,1882
113688,103.446769790719,M,1882
112321,106.566413662239,F,1883
104629,101.581553398058,M,1883
129022,110.087030716724,F,1884
114445,101.728888888889,M,1884
133055,111.157059314954,F,1885
107800,98.2680036463081,M,1885
144535,112.741809672387,F,1886
110784,99.8054054054054,M,1886
145982,111.777947932619,F,1887
101414,95.0459231490159,M,1887
178627,121.185210312076,F,1888
120853,102.678844519966,M,1888
178366,120.599053414469,F,1889
110584,99.5355535553555,M,1889
190377,124.104954367666,F,1890
111025,95.6287683031869,M,1890
185482,120.992824527071,F,1891
101196,89.7923691215617,M,1891
212346,127.842263696568,F,1892
122037,96.8547619047619,M,1892
212906,128.877723970944,F,1893
112317,95.264631043257,M,1893
222922,130.976498237368,F,1894
115772,93.4398708635997,M,1894
233630,129.220132743363,F,1895
117398,94.5995165189363,M,1895
237920,130.367123287671,F,1896
119570,94.4470774091627,M,1896
234202,130.184546970539,F,1897
112758,91.7477624084622,M,1897
258770,131.022784810127,F,1898
122693,95.1846392552366,M,1898
233023,126.50542888165,F,1899
106212,88.51,M,1899
299828,134.754157303371,F,1900
150499,99.9329349269588,M,1900
239348,123.184765826042,F,1901
106471,87.9925619834711,M,1901
264077,129.322722820764,F,1902
122659,92.9234848484848,M,1902
261973,125.767162746039,F,1903
119234,91.2970903522205,M,1903
275371,127.133425669437,F,1904
128125,91.8458781362007,M,1904
291629,130.482774049217,F,1905
132319,93.1168191414497,M,1905
295303,133.019369369369,F,1906
133159,94.238499646143,M,1906
318566,132.791162984577,F,1907
146833,94.7921239509361,M,1907
334313,137.351273623665,F,1908
154344,97.4393939393939,M,1908
347228,136.274725274725,F,1909
163999,97.6765932102442,M,1909
396501,142.115053763441,F,1910
194218,105.610657966286,M,1910
418299,145.850418410042,F,1911
225968,113.04052026013,M,1911
558103,162.003773584906,F,1912
429945,147.950791465933,M,1912
624518,168.469921769625,F,1913
512557,157.226073619632,M,1913
761548,181.148430066603,F,1914
654762,174.185155626496,M,1914
983874,198.042270531401,F,1915
848603,193.303644646925,M,1915
1044323,202.309763657497,F,1916
890099,196.316497573886,M,1916
1081280,203.51590438547,F,1917
925511,201.11060408518,M,1917
1157647,207.240780522735,F,1918
1013537,210.539468217698,M,1918
1130145,203.226937601151,F,1919
980149,203.815554169266,M,1919
1198283,207.854813529922,F,1920
1064463,213.276497695853,M,1920
1232999,210.050936967632,F,1921
1101457,220.909947853991,M,1921
1200919,207.448436690275,F,1922
1088287,219.059380032206,M,1922
1206330,210.2352736145,F,1923
1096168,223.479714576962,M,1923
1248876,211.709781318868,F,1924
1132751,228.009460547504,M,1924
1217352,210.833391063388,F,1925
1115958,229.243631881676,M,1925
1185304,210.83315546069,F,1926
1110505,229.490597230833,M,1926
1192330,212.764097073519,F,1927
1126717,234.586092025817,M,1927
1153117,212.126011773363,F,1928
1107518,234.444961896698,M,1928
1116422,211.72425564195,F,1929
1075313,236.748789079701,M,1929
1125761,214.512385670732,F,1930
1097176,241.615503193129,M,1930
1064497,213.926245980707,F,1931
1039127,240.873203523412,M,1931
1066994,209.214509803922,F,1932
1043808,243.766464269033,M,1932
1007710,207.518533772652,F,1933
991127,238.538387484958,M,1933
1044039,209.983708769107,F,1934
1032291,245.316302281369,M,1934
1048428,214.446308038454,F,1935
1040930,251.250301713734,M,1935
1040202,214.16553428042,F,1936
1036974,256.803863298663,M,1936
1063872,215.926933225086,F,1937
1066309,265.383026381284,M,1937
1103277,220.964750650911,F,1938
1108841,274.737611496531,M,1938
1096518,221.429321486268,F,1939
1106544,278.937232165364,M,1939
1143325,227.52736318408,F,1940
1158900,294.435975609756,M,1940
1207919,237.498820290995,F,1941
1227941,307.138819409705,M,1941
1350545,251.077337795129,F,1942
1380774,341.353275648949,M,1942
1395082,260.033923578751,F,1943
1426846,353.092303885177,M,1943
1327104,253.022688274547,F,1944
1362555,348.568687643899,M,1944
1307028,249.290101087164,F,1945
1345610,355.793231094659,M,1945
1571184,276.276419905047,F,1946
1623650,404.2953187251,M,1946
1772644,290.359377559378,F,1947
1829223,428.690649168034,M,1947
1697814,281.234719231406,F,1948
1754469,417.929728442115,M,1948
1710825,282.174666006927,F,1949
1773725,422.416051440819,M,1949
1713180,280.29777486911,F,1950
1790673,426.858879618594,M,1950
1800042,289.721873491067,F,1951
1881080,442.919708029197,M,1951
1854698,290.159261576971,F,1952
1944277,456.08186722965,M,1952
1880326,289.548198336926,F,1953
1969777,454.074919317658,M,1953
1941682,293.793614767741,F,1954
2037374,468.146599264706,M,1954
1954664,290.786075572746,F,1955
2057918,468.774031890661,M,1955
2007512,291.323755623277,F,1956
2113694,474.774034141959,M,1956
2044160,291.564684067893,F,1957
2155866,473.71259063942,M,1957
2010884,286.328349708102,F,1958
2120712,471.583722481654,M,1958
2023044,281.251772556652,F,1959
2133509,466.442719720157,M,1959
2022093,275.714889555495,F,1960
2132717,464.54301895012,M,1960
2017316,267.975026567481,F,1961
2122502,456.550225855023,M,1961
1966548,259.370614613558,F,1962
2068945,447.629813933362,M,1962
1927217,251.594908616188,F,1963
2031755,439.86901926824,M,1963
1894594,242.834401435529,F,1964
1993270,434.074477351916,M,1964
1765001,234.271436156092,F,1965
1861378,421.316885468538,M,1965
1691868,222.204885736801,F,1966
1783964,393.463608292898,M,1966
1650764,210.315199388457,F,1967
1744527,383.412527472527,M,1967
1640103,200.183449285976,F,1968
1738928,367.249841605069,M,1968
1686947,193.768320698369,F,1969
1789732,354.894308943089,M,1969
1748147,187.067629748529,F,1970
1859594,342.34057437408,M,1970
1663475,172.702969269103,F,1971
1769201,312.800742574257,M,1971
1521185,157.488870483487,F,1972
1622666,282.055623153138,M,1972
1458139,148.80487804878,F,1973
1559338,265.419234042553,M,1973
1467413,143.316046488915,F,1974
1573105,261.965861781848,M,1974
1457699,137.47986418938,F,1975
1562207,246.872155499368,M,1975
1465096,134.400146775525,F,1976
1569904,241.784075157862,M,1976
1532997,135.411801077643,F,1977
1643684,239.953868613139,M,1977
1531658,133.605896720167,F,1978
1642250,243.008286475289,M,1978
1605051,134.190368698269,F,1979
1721947,243.591314188711,M,1979
1659933,136.541334210743,F,1980
1783876,244.970612469102,M,1980
1667465,136.856943532502,F,1981
1790907,245.936143916506,M,1981
1692678,137.381543705868,F,1982
1813970,246.530307148682,M,1982
1670061,138.444914200448,F,1983
1791732,244.338197190781,M,1983
1682973,138.322758280595,F,1984
1803830,246.021549372613,M,1984
1720036,137.646927016645,F,1985
1847032,243.703918722787,M,1985
1714664,133.780447842709,F,1986
1840164,235.224849801866,M,1986
1737891,131.16158490566,F,1987
1865662,229.056108041743,M,1987
1779839,128.285930517515,F,1988
1912602,225.436350777935,M,1988
1843105,126.743570347958,F,1989
1999999,216.802059620596,M,1989
1897709,124.595167749984,F,1990
2052543,216.467306475427,M,1990
1874434,121.251956788926,F,1991
2019463,209.379263867289,M,1991
1843304,118.122652995835,F,1992
1996388,203.484660075426,M,1992
1808379,114.490598290598,F,1993
1960397,192.914485337532,M,1993
1785074,113.316447660763,F,1994
1931157,188.515911753221,M,1994
1757927,111.58607337819,F,1995
1902832,184.275808638389,M,1995
1752249,110.280634401158,F,1996
1893378,179.807977207977,M,1996
1739806,107.69458372021,F,1997
1884122,174.294357076781,M,1997
1765915,106.425299825228,F,1998
1910250,169.078597981944,M,1998
1772632,104.654150430984,F,1999
1918809,165.329053937618,M,1999
1814601,102.798606390211,F,2000
1962406,162.0350094955,M,2000
1799049,100.136313035734,F,2001
1941251,157.889467263115,M,2001
1795206,99.2868757259001,F,2002
1939815,155.446349867778,M,2002
1825359,99.0804429246051,F,2003
1973434,154.779137254902,M,2003
1834145,97.462405016207,F,2004
1982794,150.029812348668,M,2004
1845379,96.2388005215124,F,2005
1994841,149.336801916455,M,2005
1898463,94.7195030684029,F,2006
2052377,146.326607728504,M,2006
1919408,93.4109402374927,F,2007
2072139,144.068622679552,M,2007
1887234,92.3349478937326,F,2008
2036289,139.414555662057,M,2008
1832925,90.896355070667,F,2009
1979303,136.325022384462,M,2009
1772738,89.5322222222222,F,2010
1913851,134.390211361562,M,2010
1753500,89.7389969293756,F,2011
1893230,132.12575895038,M,2011
1753922,90.0925621532772,F,2012
1889414,132.90756893641,M,2012
1745339,90.9457037152832,F,2013
1881463,134.275121324579,M,2013
1768775,92.7662977919966,F,2014
1901376,136.03605924018,M,2014
